@relation tinkaTest
@attribute text string
@attribute class {neutral,worry,angry,happy}

@Data
'Meine Telefonrechnung von {Date_5}', neutral
'Code für Sprachbox', neutral
'Für 2 Wertkartenhandynummern würde ich gerne online einen {FullName_1} für die Sprachbox einrichten. Wo kann ich das online machen?', neutral
'Komme bei der Bestellung nicht zu Schritt 2 was kann ich tun?', neutral
'Komme bei der Bestellung nicht zu Schritt 2 was kann ich tun?', neutral
'Handy ebtsperren', neutral
'Handy entsperren', neutral
'danke', happy
'hi kurze Frage ist die Wertkrarte meines sohnes noch aktiv auch wenn ich sie nicht pünktlich aufgeladen habe', neutral
'Meine Klax {FullName_1} {FullName_1} ist in meiner Alarmanlage kann ich die {FullName_1} karte ihn der Alarmanlage aufladen', neutral
'Rufnummer mitnehmen', neutral
'Ich kann mir kein zusätzliches Datenvolumen kaufen obwohl ich mein ganzen freies verbraucht habe. Woran liegt das?', worry
'Mehr Datenvolumen mit voller Geschwindigkeit kann nicht aktiviert werden!', angry
'weiterleitung kosten', neutral
'wieviel kostet mich ein anrufweiterleitung (alle anrufe an meine t-mobile nummer)?', neutral
'Ich habe eine neue Simkarte jedoch kein Netz', neutral
'Warum wurde von mir 19.30€ tatt 18.40€ abgebucht?', angry
'chat', neutral
'Guten Tag. Ich wohne in {ZipCode_1} {Location_1}. Auf meinem Handy RufNr. {PhoneNumber_1} habe ich {FullName_1} ca. {ZipCode_1} {FullName_1} keine Internetverbindung. Liegt es am Netz?', neutral
'Kann ich mein internetvertrag auf jemand abders umschreiben?', neutral
'Wie rufe ich meine Sprachmailbox ab', neutral
'vertrag kündigen', neutral
'ich habe die zugankscode verloren jetzt brauche ich dringend ein {FullName_1}', neutral
'bitte das volume boost 3 gb ab 167 kündigen', neutral
'bitte das volume boost 3 gb ab {Date_3} kündigen', neutral
'{Date_4} wollte ich schreiben', neutral
'entfernen das wird nicht gebraucht', neutral
'Hallo bitte kann man das Volumne boost 3 GB für die nummer {PhoneNumber_1}', neutral
'hallo wie kann ich in montenegro meine mails checken da dies ja zone 5 ist oder?', neutral
'Ab wann kann ich meinen Vertrag kündigen', neutral
'Escalation_null', neutral
'wie gebe ich eine adressänderung bekannt?', neutral
'ich möchte {Street_1} wie viel freiminuten ich noch habe', neutral
'Ist es Möglich das meine Rufnummer {PhoneNumber_1} noch nicht aktiviert wurde', neutral
'roaming klax', neutral
'Welchen Tarif habe ich?', neutral
'guten morgen', neutral
'internet in ausland ohne roaming ?', neutral
'allo fahre heute nach {Country_1} ist diese Zone auch gedeckt damit Internet bez navi nutzen kann', neutral
'Hallo wir wollen eine Homenet unlimeted Light Cube für einen Monat testen? Ist dies möglich?', neutral
'License {FullName_1}', neutral
'Juhu einlösen', neutral
'entsperren', neutral
'ENTSPERREN', neutral
'{FullName_1} ENSTPERREN', neutral
'Hallo {FullName_1}! Noch ein Anliegen.. auf den Rechnungen meiner Freundin ist keine Gutschrift über die 4990 zu sehen. Könntest du mal nachschauen?', neutral
'Warum kommt beim anmelden in {Country_1} Ettlinger eure Webadresse?', neutral
'{FullName_1}', neutral
'Wie viel gb hab ich', neutral
'wie kann ich meine emails abrufen', neutral
'wie komme ich in meine emails', neutral
'Ich komme nicht in den online shop für bsinesskunden', neutral
'mein handyvertrag', neutral
'Hi I need an Apple ID for setting up {FullName_1} appstore {FullName_1} my iPhone 6?', neutral
'Zone 1 Ausland', neutral
'hallo kann ich innerhalb des Konzerns ohne zu kündigen switchen?', neutral
'abfrage datenvolumen', neutral
'Ich habe am {Date_4} das neue Angebot mit der homenetz mit der Neuem {Blacklist_Chat_1} bestellt und lieder noch nichts erhalten. Die die Rufnummer wäre {PhoneNumber_1}', neutral
'Nein das möchte ich nicht ich will wissen wann meine Bestellung kommt', angry
'Vertragsverlängerung', neutral
'Steuerungscode', neutral
'Wie funktioniert das pausieren der Zahlung bei MY KLAX FLEX', neutral
'gratis internet', neutral
'nein', neutral
'root', neutral
'Zone1 17GB', neutral
'{FullName_1} aktivieren', neutral
'ankauf', neutral
'Guten tag', neutral
'simlock entfernen', neutral
'handy als fax verwenden', neutral
'Es funktionier nicht das ich meine Kontodaten änder da steht mit dem benutzerkennwort habe ich keine {Blacklist_Chat_1} brauche das Kundenkennwort', worry
'Möchte die Kontonummer ändern', neutral
'ps4 port offen', neutral
'Wii U ports öffnen', neutral
'Treue Flamingos', neutral
'vertrag kündigen', neutral
'kann mich nicht einloggen', worry
'auf lte simkarte wechsel bei aktuellen tarif', neutral
'simkarte austausch', neutral
'Aktive Abo', neutral
'{FullName_1} karte mit bindung', neutral
'Hallo in den letzten tagen schrumpft mein traffic immer wieder auf 50Kb/s runter. Ich wollte {FullName_1} fragen was los ist', angry
'Wie viel kostet das LG G5 {FullName_1} ohne vertragsbindung und simlockfrei?', neutral
'HAllo', neutral
'mein iphone7 Display ist runtergefallen', neutral
'reparatur', neutral
'Ich brauche keine APP ich will eine Antwort auf meine Frage!', angry
'Was kann ich tun wenn ich eine schlechte Internetverbindung habe (am handy steht "E") meine Kollegen haben A1 und 3 und dort besteht eine aktuelle Verbindung von LTE und 3 G. Es muss also am Provider T-Mobile liegen! Was kann ich tun????', angry
'Was kann ich tun wenn ich eine schlechte Internetverbindung habe am handy steht E meine Kollegen haben An und 3 und dort besteht eine aktuelle Verbindung von LTE und 3 G Es muss also am Provider T-Mobile liegen Was kann ich tun?', angry
'Besteht die Möglichkeit bei T-Mobile ein Sommerpraktikum im Bereich IT/Telekom zu machen?', neutral
'benutzername und {Password_1} {Password_1}', neutral
'handyankauf', neutral
'Hallo ich wollte fragen wegen Internet ob die 12€ Rabatt auch auf alle Tarife ist?', neutral
'Halo', neutral
'Rechnung vom {Date_4}', neutral
'Hallo ich habe mich beim pincode vertippt und weiss den {FullName_1} nicht mehr. {FullName_1} kann ich nicht mehr telefonieren. Wer kann mir helfen?', worry
'Warum kann ich mich nicht anmelden???', angry
'Hallo brauche bitte meine Pukcode', neutral
'kündigung', neutral
'neue simcard im shop kein code', neutral
'neue simkart code nicht erhalten', neutral
'Kann ich hier einsehen welche handys es zur auswahl für den juhu vertrag gibt?', neutral
'Was bedeutet telefonie vpn', neutral
'Hallo. Sind im Tarif Bussines Premium MMS enthalten?', neutral
'Österreichischer Filmpreis', neutral
'Wann wird mein iPhone 7 geliefert?', neutral
'mein Zugang ist gesperrt', neutral
'Ich habe im {Date_5} ein Probemonat WLAN bestellt es wieder zurückgegeben bereits einen Brief erhalten der mir die Rücküberweisung bestätigt aber das Geld wurde mir aber bis jetzt nicht wieder zurücküberwiesen. Wann wird das Geld zurücküberwiesen?', angry
'in welchem frequenzbereich arbeit LTE T-Mobile', neutral
'hi', neutral
'Sehr geehrtes T-Mobile ich hätte eine Frage.\nBis wann darf ich meinen Vertrag kündigen da mein Vertrag {FullName_1} {Date_3} aus ist? \nWeil ich möchte meinen Vertrag nicht verlängernsonder ein anderes Tarif von Ihnen kaufen.', neutral
'Vertragdauer', neutral
'Vertragslaufzeit', neutral
'Ja i9ch habe geheiratet möchte meinen Namen ändern', neutral
'Hi .I have contraction with t mobile and bought also a cellphone and p', neutral
'I have a contract with {FullName_1} t mobile . {FullName_1} can I cancel it ?', neutral
'Wann tritt meine nächste Vertragsverlängerung inkraft?', neutral
'Kosten?', neutral
'ahh noch mehr fragen den Antworten', angry
'Aufstellung des Datenverbrauchs?', neutral
'danke für die aussergalaktische Hilfe :-(', angry
'diese antwort hatten wir auch schon... :-(', angry
'Hallo {FullName_1} habe um 13:32 eine SMS bekommen 80% ihres Datenvolumens verbraucht und im Anschluss darauf gleich die SMS ihr gesamtes Datenvolumen ist verbraucht...', angry
'kann rechnung nicht abrufen', neutral
'Wie kann ich meinen Namen ändern nach meiner Hochzeit?', neutral
'hallo: ich habe4 {Street_1} nummern und online und auf der handy app wird der datenverbrauch nicht mehr korrekt angezeigt (alle 4 nummern derselbe verbrauch ) danke', neutral
'Ich möchte den Vertrag kündigen. Wieviel ist die Kündigungsfrist?', neutral
'Ich bin Kunde {Customer_1} T-Mobile und bräuchte ein neues Telefon.', neutral
'vertrag kündigen', neutral
'Wie kann ich meinen Vertrag kündigen.', neutral
'Wie kann ich meinen Vertrag kündigen...', neutral
'die aktuelle rechnung wurde doppelt abgebucht', neutral
'warum ist das internet heute wieder so langsam?', angry
'klax', neutral
'Wertkartentarife', neutral
'bekomme ich 4 wochen?', neutral
'Hallo ich habe so viele erlachscheine bekommen warum', neutral
'Ich verstehe nicht', neutral
'Ich zahle meine zahlscheine und bekomme ich immer viel', neutral
'{FullName_1} auf my tmobile', neutral
'ich kann die option {FullName_1} auf my tmobile nicht auswählen', neutral
'roaming', neutral
'Mehr Datenvolumen', neutral
'Auf {Street_1} des aufrechten Ratenplans ist kein Tarifwechsel möglich.', neutral
'Hallo kann ich mit meiner Home Net Box und dem Tarif Unlimited Data Advanced in {Country_1} kostenfrei surfen?', neutral
'Wann kann ich mir ein S8+ holen', neutral
'can {FullName_1} help me', neutral
'i dont have network', neutral
'Klax aufladen', neutral
'kann ich ab morgen in England ohne roaming ins netz oder soll ich mir travel', neutral
'kann ich ab morgen in England ohne roaming ins netz oder soll ich mir travel&surf large für 7 {FullName_1} kaufen', neutral
'Warum zahle ich jetzt monatlich nur 1130 Euro?', neutral
'Verpasste Anrufe als SMS', neutral
'Tablets', neutral
'wie ist das wetter bei dir ?', neutral
'kündigungsfrist', neutral
'Hello wir haben von der Home Net Box den Vorgänger bringt die neue entscheidende Vorteile?', neutral
'Eine Frage: Welche Kündigungsfristen muss ich einhalten wenn ich mein Internet kündigen möchte ? Danke für die Info MFG', neutral
'Warum konnte ich bei online vertragsverlängerung mit neuem gerät nicht die zahlungsart ändern', neutral
'kontonummer ändern', neutral
'neue kontonummer', neutral
'Anrufsnachwei', neutral
'Anrufsnachweis anfordern im shop', neutral
'Anrufsnachweis anfordern', neutral
'Hallo Wie ist es wenn man für ein {Crime_1} einen Anrufnachweis braucht Kann man das auch im Shop anfordern?', neutral
'Hallo ! Wie ist es wenn man für ein {Crime_1} einen Anrufsnachweis braucht ? Kann man das auch im Shop anfordern ?', neutral
'habe interesse an Samsung Galaxy S7', neutral
'Kombibonus', neutral
'hab ich bei meinem vertrag eine statische oder dynamische ip adresse', neutral
'Guthaben', neutral
'wie funktioniert es mit dem handy ankauf', neutral
'Einzahlungen', neutral
'Online zahlen', neutral
'Wo sehe ich meine einzahlungen', neutral
'netzabdeckung', neutral
'My Homenet unlimited TURBO.', neutral
'spare ich mir hier die Aktivierungsgebühr?', neutral
'Hallo! Wohin sende ich {FullName_1} mein Kündigungsschreiben?', neutral
'Ich habe schon telefoniert aber die Mailadresse fehlt mir noch', neutral
'Hallo wie schaut es mit den Roaminggebühren in der {Country_1} aus ?', neutral
'empfangprobleme', neutral
'netzausbau', neutral
'wer bist du?', neutral
'vpn wechseln', neutral
'dauern jetzt geht es immer nicht nicht', angry
'hallo ich habe ein problem', neutral
'mein handy geht nicht mein vertrag wird auf Anmeldung umgestellt der Berater im shop meinte es wird ein paar Minuten dauert', neutral
'Internet im ausland', neutral
'Würfel im ausland', neutral
'Ich habe keinen Einzelvertrag und dahrer kann ich mit meiner Nummer nicht einloggen... sondern nur mit der Kundennummer aber dafür gibt es kein Feld... ih gebe jetzt auf. {Surname_1} {Street_1}', angry
'wo und wie kann ich mich mit der Kundennummer {Customer_1}?', neutral
'Ich möchte meinen Vertrag kündigen.', neutral
'Warum zahle ich für einen tarifwechsel eine Gebühr', neutral
'Kann ich von Ihnen eine neue schriftliche Version meines Vertrags erhalten? Ich finde das erste Formular in meinen Ordnern nämlich nicht mehr wär aber froh über alles {Street_1} auf weiß zu haben! Danke MfG Philp {Surname_1}', neutral
'e-mail account', neutral
'wann kann ich ein neues handy haben', neutral
'homenetbox installieren', neutral
'möchte die März rechnung ausdrucken', neutral
'gerät ohne vertrag', neutral
'Ich habe {FullName_1} Security in meinem Vertrag als Option inkludiert. Gestern hatte mein Handy seinen Systemabsturz und ich musste alle Apps neu herunterladen und einrichten. Darunter auch die App für T-Mobile und {FullName_1} Security. Nun sagt mir {FullName_1} Security dass ich eine 30 {FullName_1} habe und jährlich knapp EUR 1700 nach Ablauf des Tests zu bezahlen habe. Ich bezahle aber schon über T-Mobile! Wie kann ich beide Applikationen verknüpfen sodass ich nur 1x bezahlen mus', neutral
'Handy sie mit Vertrag kostet', neutral
'für treue kunden gibt es aber viel günstigere angebote am telefon.', angry
'ich habe aber meinen vertrag erst vor kurzem geändert verlängert.', neutral
'Ich würde gerne ein travel dataplan für ein monat haben da ich in norwegen bin. Geht das?', neutral
'Kundenkennwort', neutral
'Kann man das im Vertrag ibkludierte Datenvolumen auch in {Country_1} kostenlos nutzen?', neutral
'Kann man das im Vertrag inkludierte Datenvolumen auch in {Country_1} kostenlos nutzen?', neutral
'i Phone 6s GB', neutral
'willst du sex', neutral
'ist der Preis für das handy und dem Tarif mit oder ohne Mehrwertsteuer', neutral
'ja', neutral
'sind die Preise für das handy inclusive MwSt', neutral
'Freizeichenton ändern?', neutral
'Bankeinzug von deutschem Konto möglich?', neutral
'hi {FullName_1}', neutral
'kann ich den bankeinzug auch über ein deutsches konto laufen lassen?', neutral
'live chat?', neutral
'Home net internet angemeldet {Date_3} Mindestvertragsdauer 24 Monate kann ich ab jetzt jederzeit kostenlos kündigen??', neutral
'Vertrag kündigen', neutral
'wie lange ist klax guthaben gültig', neutral
'inflation', neutral
'Inflationsrate', neutral
'Fairphone 2', neutral
'Lieferzeit Fairphone 2', neutral
'Was ist zone 1 im Ausland', neutral
'Bezahlung am {Date_3}', neutral
'{CreditCardNumber_1}', neutral
'hallo ich mochte bei meine router password {Password_1} wie kann ich das machen', neutral
'Tarifwechsel', neutral
'diebstal', neutral
'Was tun bei diebstahl', neutral
'Ja aber Ich benutzen nicht in AUsland nur hier in {Location_1}', neutral
'nei meine grungebür ist 47€ pro monat und immer zahlen jedes monat ich telefonieren so wenig', angry
'ok Danke', happy
'Weiter', neutral
'Wie kamn ich online kündigen', neutral
'Hallo ich habe eine Frage', neutral
'Was ist msg verbraucht', neutral
'Ich wurde soeben angerufen weiß aber nicht warum', neutral
'Meine Telefonnummer lautet {PhoneNumber_1}', neutral
'Begrüssungs sms abmelden', neutral
'welcom-sms abmelden', neutral
'Kann die Rechnungnr. {CreditCardNumber_1} nicht det. anzeigen und downloaden', neutral
'wie kommt diese summe der {Date_5} rechnung zustande?', neutral
'wie kommt diese summe zustande?', neutral
'Faxnummer', neutral
'ich möchte mein handy tauschen', neutral
'home net box', neutral
'E-Mail Adresse von T-Mobile', neutral
'Kontoänderung durchführen', neutral
'Ausland Zone 1', neutral
'Ich würde gerne ein gesperrtes iphone online erwerben. das gerät ist vor 38 monaten gekauft worden und ich habe gehört das nach einer gewissen frist das entsperren gratis ist! stimmt das?', neutral
'Ich will net über Fussball Reden sonder über die zahlung', angry
'Können sie mir sagen warum ich so viel zahle dieses monat', worry
'Mir wurde heute 79 Euro abgebucht', neutral
'Morgen', neutral
'infos über die neuen roaminggebühren?', neutral
'wie hoch ist die aktuelle Gebühr', neutral
'rechnung {CreditCardNumber_1} details', neutral
'kann ich zu einem Internetvertrag einen handyvertrag anmelden', neutral
'Guten Morgen! Habe über Ladezone 25 Euro überwiesen hat nicht funktioniert', worry
'guten abend', neutral
'Home net box {FullName_1} 2 {FullName_1} kein LTE sondern nur 2 grüne Balken', neutral
'Wie kann ich Mms am Handy abrufen', neutral
'Wie kann ich Mms am Handy abrufen iPhone 4s', neutral
'hi', neutral
'agb', neutral
'Geld-zurück-Garantie', neutral
'Trotz aufgehobener sperre von Gesprächen im Ausland geht es nicht aus der Türkei anzurufen', angry
'kündigung {FullName_1} fax', neutral
'Wertgarantie', neutral
'Wo finde ich die Wertgarantie ?', neutral
'Rufnummer wechseln', neutral
'das telefonieren funktioniert nur eingeschränkt', neutral
'mein handy geht nicht wie es soll', angry
'hello ich hatte letytens klax mit tarif {ZipCode_1} mb {ZipCode_1} sms {ZipCode_1} minute und heute meine datenvolum sind abgelauft ich habe guthaben aufgeladet aber es wirkt nicht mit denm alten tarif', neutral
'laptop software sms', neutral
'sms vom laptop senden', neutral
'webmail', neutral
'handynummer mitnehmen', neutral
'nummer mitnehmen', neutral
'Kuendigungsfrist ab {ZipCode_1}', neutral
'{FullName_1} vergessen', neutral
'Aufgeladen warum ist das nicht so?', neutral
'das hilft mir nicht weiter', angry
'^mir ist da ein fehler unterlaufen wie kann ich das jetzt wieder erneut weiter machen bzw abschliessen? {FullName_1} der aktuelle {FullName_1} noch nicht abgeschlossen ist kann keine weitere Aufladung mit Online Banking oder Kreditkarte gestartet werden. Eine Aufladung mittels Voucher ist weiterhin möglich.', neutral
'möchte klax karte aufladen mittels online banking', neutral
'Verfügbar ja aber wie kann ich das Modem umschalten', neutral
'Wie kann ich zwischen LTE und 3 G Netz umschalten', neutral
'ich benötige mein Box-Passwort zur Abfrage meiner Mailbox im Ausland', neutral
'wie kann ich meine Mailbox im Ausland abfragen?', neutral
